n,m,R,z.m,z.f,theta,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,1.02,1,1,1.5707963267949,0,3701093,159616,726233,114416,10000,6482
50,0.05,1.02,1,1,1.36943840600457,0.2,2587816,150732,464870,98343,10000,5729
50,0.05,1.02,1,1,1.15927948072741,0.4,1919801,138909,305019,80337,10000,4739
50,0.05,1.02,1,1,0.927295218001612,0.6,1541209,133462,202886,64514,10000,3610
50,0.05,1.02,1,1,0.643501108793284,0.8,1339124,132007,125828,47348,10000,2492
50,0.05,1.02,1,1,0,1,1142295,125277,0,0,10000,0
