n,m,R,z.m,z.f,theta,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,0.98,1,1,1.5707963267949,0,1e+07,431526,1964411,309667,2261,670
50,0.05,0.98,1,1,1.36943840600457,0.2,1e+07,583287,1796431,379317,4549,1027
50,0.05,0.98,1,1,1.15927948072741,0.4,1e+07,728288,1587861,418548,7466,1085
50,0.05,0.98,1,1,0.927295218001612,0.6,9082142,784627,1195338,379572,10000,766
50,0.05,0.98,1,1,0.643501108793284,0.8,6590145,651032,619871,234039,10000,222
50,0.05,0.98,1,1,0,1,4997428,552394,0,0,10000,0
