n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,1.02,1,1,1.0471975511966,1736372,138073,253289,73143,10000,4174
50,0.05,1.02,1.19431718340557,1,0.930842267730309,1177904,125820,181625,62001,10000,3833
50,0.05,1.02,1.37248327573747,1,0.81448698426402,858211,113297,134064,53487,10000,3435
50,0.05,1.02,1.53208888623796,1,0.698131700797732,695118,106338,107306,48171,10000,3320
50,0.05,1.02,1.67097562282587,1,0.581776417331443,574622,97881,87149,43373,10000,3127
50,0.05,1.02,1.78726528064682,1,0.465421133865154,517810,95486,77803,42045,10000,2971
50,0.05,1.02,1.87938524157182,1,0.349065850398866,467057,91458,70266,40513,10000,2793
50,0.05,1.02,1.94608974115965,1,0.232710566932577,445074,90147,69006,41118,10000,2735
50,0.05,1.02,1.98647671548389,1,0.116355283466289,429972,88490,68150,41217,10000,2748
50,0.05,1.02,2,1,0,427562,88951,68443,41726,10000,2736
