n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
10,0.05,0.5,1,0,195723,52018,86116,31182,1000,431
10,0.05,0.5,1,0.2,168690,47629,65213,25156,1000,312
10,0.05,0.5,1,0.4,146916,43566,48340,19760,1000,244
10,0.05,0.5,1,0.6,127413,39043,33453,14331,1000,153
10,0.05,0.5,1,0.8,119053,38049,21973,10138,1000,92
10,0.05,0.5,1,1,101547,33151,0,0,1000,0
