n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
25,0.05,0.5,1.02,0,436742,19771,88343,14011,1000,661
25,0.05,0.5,1.02,0.2,307242,18964,57182,12162,1000,575
25,0.05,0.5,1.02,0.4,244233,18643,40112,10700,1000,510
25,0.05,0.5,1.02,0.6,199198,17858,27013,8501,1000,397
25,0.05,0.5,1.02,0.8,172735,17692,16593,6294,1000,282
25,0.05,0.5,1.02,1,153537,17554,0,0,1000,0
