n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
10,0.05,1,1,0,56657,21620,27494,12071,1000,363
10,0.05,1,1,0.2,50057,19643,21090,9571,1000,253
10,0.05,1,1,0.4,47738,18904,17025,7879,1000,188
10,0.05,1,1,0.6,42362,16958,12160,5678,1000,130
10,0.05,1,1,0.8,38020,15678,7524,3659,1000,67
10,0.05,1,1,1,37352,15201,0,0,1000,0
