n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
10,0.05,0.5,0.98,0,2646700,698694,1163987,417977,1000,129
10,0.05,0.5,0.98,0.2,1540156,434327,595892,229700,1000,102
10,0.05,0.5,0.98,0.4,1043198,309121,343359,140637,1000,41
10,0.05,0.5,0.98,0.6,759073,233935,201260,87089,1000,13
10,0.05,0.5,0.98,0.8,618616,196678,114323,51920,1000,1
10,0.05,0.5,0.98,1,471579,153673,0,0,1000,0
