n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
25,0.05,2,1.02,0,24343,8393,11495,4860,1000,450
25,0.05,2,1.02,0.2,20972,7511,8709,3828,1000,379
25,0.05,2,1.02,0.4,19144,7092,6737,3092,1000,285
25,0.05,2,1.02,0.6,19028,7110,5424,2520,1000,226
25,0.05,2,1.02,0.8,17993,6726,3640,1743,1000,123
25,0.05,2,1.02,1,14675,5697,0,0,1000,0
