n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
10,0.05,1,1,1,1.0471975511966,445093,177907,144518,67242,10000,1735
10,0.05,1,1.19431718340557,1,0.930842267730309,371482,153182,107443,51244,10000,1362
10,0.05,1,1.37248327573747,1,0.81448698426402,323565,135827,82552,40373,10000,1146
10,0.05,1,1.53208888623796,1,0.698131700797732,284253,121363,62452,31325,10000,889
10,0.05,1,1.67097562282587,1,0.581776417331443,265059,114756,48895,25289,10000,664
10,0.05,1,1.78726528064682,1,0.465421133865154,247126,107507,36518,19497,10000,471
10,0.05,1,1.87938524157182,1,0.349065850398866,240246,105234,27650,15187,10000,324
10,0.05,1,1.94608974115965,1,0.232710566932577,227283,99800,18354,10801,10000,167
10,0.05,1,1.98647671548389,1,0.116355283466289,222536,97848,11556,7314,10000,85
10,0.05,1,2,1,0,221825,97501,9884,6510,10000,33
