n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
30,0.05,1,1,1,1.0471975511966,1096395,222450,274014,102635,10000,2351
30,0.05,1,1.19431718340557,1,0.930842267730309,814741,188411,190821,78100,10000,1879
30,0.05,1,1.37248327573747,1,0.81448698426402,646770,164683,140075,62660,10000,1694
30,0.05,1,1.53208888623796,1,0.698131700797732,537296,146901,105088,50978,10000,1450
30,0.05,1,1.67097562282587,1,0.581776417331443,467447,134058,81636,42436,10000,1226
30,0.05,1,1.78726528064682,1,0.465421133865154,423988,126803,65203,36803,10000,969
30,0.05,1,1.87938524157182,1,0.349065850398866,397456,121779,54265,32495,10000,806
30,0.05,1,1.94608974115965,1,0.232710566932577,366063,113644,46023,28705,10000,679
30,0.05,1,1.98647671548389,1,0.116355283466289,355105,111156,43851,28214,10000,580
30,0.05,1,2,1,0,349759,110258,43463,28119,10000,531
