n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,0.5,1.02,0,1e+07,2899,141967,2367,125,94
50,0.05,0.5,1.02,0.2,1e+07,8301,139880,6315,366,275
50,0.05,0.5,1.02,0.4,1e+07,17447,132397,12110,871,559
50,0.05,0.5,1.02,0.6,6123248,19339,72797,11799,1000,576
50,0.05,0.5,1.02,0.8,4143401,20290,38070,9752,1000,398
50,0.05,0.5,1.02,1,2834305,20412,0,0,1000,0
