n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,2,1,0,68087,13770,26883,8779,1000,418
50,0.05,2,1,0.2,55539,12232,19228,6904,1000,345
50,0.05,2,1,0.4,48065,11529,14171,5657,1000,242
50,0.05,2,1,0.6,43712,11004,10468,4407,1000,164
50,0.05,2,1,0.8,35921,9416,6112,2781,1000,114
50,0.05,2,1,1,34083,9217,0,0,1000,0
