n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,1,1,1,1.0471975511966,3546323,281803,518087,150297,10000,2956
50,0.05,1,1.19431718340557,1,0.930842267730309,2204823,236728,338391,116107,10000,2541
50,0.05,1,1.37248327573747,1,0.81448698426402,1470831,195009,229768,91332,10000,2465
50,0.05,1,1.53208888623796,1,0.698131700797732,1141969,175340,176659,79880,10000,2312
50,0.05,1,1.67097562282587,1,0.581776417331443,912463,156078,138999,69615,10000,2190
50,0.05,1,1.78726528064682,1,0.465421133865154,778192,143266,116999,63538,10000,2071
50,0.05,1,1.87938524157182,1,0.349065850398866,707460,138461,107500,62029,10000,1971
50,0.05,1,1.94608974115965,1,0.232710566932577,653249,131779,100786,59988,10000,1824
50,0.05,1,1.98647671548389,1,0.116355283466289,615688,127063,97464,59070,10000,1747
50,0.05,1,2,1,0,612226,127222,97369,59319,10000,1752
