n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
25,0.05,0.5,1,0,1793852,81763,363551,58074,1000,504
25,0.05,0.5,1,0.2,1134973,68344,209843,43885,1000,408
25,0.05,0.5,1,0.4,801224,61181,131488,34742,1000,322
25,0.05,0.5,1,0.6,605538,54275,81683,25829,1000,227
25,0.05,0.5,1,0.8,483909,49668,46627,17699,1000,135
25,0.05,0.5,1,1,383989,44219,0,0,1000,0
