n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,2,1.02,0,44043,8847,17471,5711,1000,508
50,0.05,2,1.02,0.2,37968,8406,13241,4750,1000,443
50,0.05,2,1.02,0.4,34553,8151,10369,4047,1000,359
50,0.05,2,1.02,0.6,30432,7635,7399,3108,1000,233
50,0.05,2,1.02,0.8,29197,7667,5011,2208,1000,159
50,0.05,2,1.02,1,25198,6923,0,0,1000,0
