n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
40,0.05,1,1,1,1.0471975511966,1914509,252135,378532,125725,10000,2720
40,0.05,1,1.19431718340557,1,0.930842267730309,1313286,212127,256919,96641,10000,2252
40,0.05,1,1.37248327573747,1,0.81448698426402,960044,179022,179887,76083,10000,2021
40,0.05,1,1.53208888623796,1,0.698131700797732,783509,162652,139242,65361,10000,1900
40,0.05,1,1.67097562282587,1,0.581776417331443,644911,144737,106746,54927,10000,1741
40,0.05,1,1.78726528064682,1,0.465421133865154,561529,133523,86672,48453,10000,1552
40,0.05,1,1.87938524157182,1,0.349065850398866,517533,127842,75704,44988,10000,1283
40,0.05,1,1.94608974115965,1,0.232710566932577,481045,121885,69365,42744,10000,1185
40,0.05,1,1.98647671548389,1,0.116355283466289,473950,121382,69407,43724,10000,1063
40,0.05,1,2,1,0,459123,118172,68299,42987,10000,1022
