n,m,z,R,corr.sel,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
10,0.05,0.5,1.02,0,68298,18031,30092,10811,1000,519
10,0.05,0.5,1.02,0.2,57439,16319,22334,8687,1000,477
10,0.05,0.5,1.02,0.4,56602,16861,18735,7742,1000,403
10,0.05,0.5,1.02,0.6,52011,15896,13670,5769,1000,285
10,0.05,0.5,1.02,0.8,47366,15026,8922,4074,1000,195
10,0.05,0.5,1.02,1,47007,15104,0,0,1000,0
